Phase Description,Level,XP Required Per Level
The Awakening: Your journey begins.,1,50
,2,150
,3,250
,4,400
,5,550
,6,700
,7,900
,8,1100
,9,1300
,10,1500
Initiate: The System recognizes your dedication.,11,1750
,12,2000
,13,2250
,14,2500
,15,2800
,16,3050
,17,3350
,18,3650
,19,4000
,20,4300
,21,4600
,22,4950
,23,5300
,24,5650
,25,6000
Veteran: The grind separates the worthy.,26,6350
,27,6750
,28,7100
,29,7500
,30,7900
,31,8300
,32,8700
,33,9100
,34,9500
,35,9950
,36,10350
,37,10800
,38,11250
,39,11700
,40,12150
,41,12600
,42,13050
,43,13550
,44,14000
,45,14500
,46,15000
,47,15450
,48,15950
,49,16450
,50,16950
Elite: Few have come this far.,51,17500
,52,18000
,53,18500
,54,19050
,55,19600
,56,20100
,57,20650
,58,21200
,59,21750
,60,22300
,61,22850
,62,23450
,63,24000
,64,24600
,65,25150
,66,25750
,67,26300
,68,26900
,69,27500
,70,28100
,71,28700
,72,29350
,73,29950
,74,30550
,75,31200
Apex: Legend status achieved.,76,31800
,77,32450
,78,33050
,79,33700
,80,34350
,81,35000
,82,35650
,83,36300
,84,36950
,85,37600
,86,38300
,87,38950
,88,39600
,89,40300
,90,41000
,91,41650
,92,42350
,93,43050
,94,43750
,95,44450
,96,45150
,97,45850
,98,46550
,99,47300
,100,48000
